accounting  | accounting  | Accounting service started
jaeger  | jaeger  | 2026-02-07T05:01:58.329Z	info	extensions/extensions.go:45	Extension is starting...	{"resource": {"service.instance.id": "8e6c20d0-2fc4-4bab-8e8f-6c1e800d9735", "service.name": "jaeger-query", "service.version": "v2.11.0"}, "otelcol.component.id": "jaeger_query", "otelcol.component.kind": "extension"}
jaeger  | jaeger  | 2026-02-07T05:01:58.329Z	info	jaegerquery/server.go:150	Archive storage not configured	{"resource": {"service.instance.id": "8e6c20d0-2fc4-4bab-8e8f-6c1e800d9735", "service.name": "jaeger-query", "service.version": "v2.11.0"}, "otelcol.component.id": "jaeger_query", "otelcol.component.kind": "extension"}
jaeger  | jaeger  | 2026-02-07T05:01:58.329Z	info	metricstore/reader.go:125	Prometheus reader initialized	{"resource": {"service.instance.id": "8e6c20d0-2fc4-4bab-8e8f-6c1e800d9735", "service.name": "jaeger-query", "service.version": "v2.11.0"}, "otelcol.component.id": "jaeger_storage", "otelcol.component.kind": "extension", "addr": "http://prometheus:9090"}
jaeger  | jaeger  | 2026-02-07T05:01:58.329Z	info	app/static_handler.go:92	Using UI configuration	{"resource": {"service.instance.id": "8e6c20d0-2fc4-4bab-8e8f-6c1e800d9735", "service.name": "jaeger-query", "service.version": "v2.11.0"}, "otelcol.component.id": "jaeger_query", "otelcol.component.kind": "extension", "path": ""}
jaeger  | jaeger  | 2026-02-07T05:01:58.329Z	info	app/server.go:258	Query server started	{"resource": {"service.instance.id": "8e6c20d0-2fc4-4bab-8e8f-6c1e800d9735", "service.name": "jaeger-query", "service.version": "v2.11.0"}, "otelcol.component.id": "jaeger_query", "otelcol.component.kind": "extension", "http_addr": "[::]:16686", "grpc_addr": "[::]:16685"}
jaeger  | jaeger  | 2026-02-07T05:01:58.329Z	info	extensions/extensions.go:62	Extension started.	{"resource": {"service.instance.id": "8e6c20d0-2fc4-4bab-8e8f-6c1e800d9735", "service.name": "jaeger-query", "service.version": "v2.11.0"}, "otelcol.component.id": "jaeger_query", "otelcol.component.kind": "extension"}
jaeger  | jaeger  | 2026-02-07T05:01:58.329Z	info	app/server.go:286	Starting HTTP server	{"resource": {"service.instance.id": "8e6c20d0-2fc4-4bab-8e8f-6c1e800d9735", "service.name": "jaeger-query", "service.version": "v2.11.0"}, "otelcol.component.id": "jaeger_query", "otelcol.component.kind": "extension", "port": 16686, "addr": ":16686"}
jaeger  | jaeger  | 2026-02-07T05:01:58.329Z	info	app/server.go:300	Starting GRPC server	{"resource": {"service.instance.id": "8e6c20d0-2fc4-4bab-8e8f-6c1e800d9735", "service.name": "jaeger-query", "service.version": "v2.11.0"}, "otelcol.component.id": "jaeger_query", "otelcol.component.kind": "extension", "port": 16685, "addr": ":16685"}
jaeger  | jaeger  | 2026-02-07T05:01:58.332Z	info	otlpreceiver@v0.132.0/otlp.go:117	Starting GRPC server	{"resource": {"service.instance.id": "8e6c20d0-2fc4-4bab-8e8f-6c1e800d9735", "service.name": "jaeger-query", "service.version": "v2.11.0"}, "otelcol.component.id": "otlp", "otelcol.component.kind": "receiver", "endpoint": "jaeger:4317"}
jaeger  | jaeger  | 2026-02-07T05:01:58.333Z	info	service@v0.132.0/service.go:272	Everything is ready. Begin running and processing data.	{"resource": {"service.instance.id": "8e6c20d0-2fc4-4bab-8e8f-6c1e800d9735", "service.name": "jaeger-query", "service.version": "v2.11.0"}}
kafka  | kafka  | OpenJDK 64-Bit Server VM warning: Sharing is only supported for boot loader classes because bootstrap classpath has been appended [otel.javaagent 2026-02-07 05:01:59:582 +0000] [main] INFO io.opentelemetry.javaagent.tooling.VersionLogger - opentelemetry-javaagent - version: 2.21.0 [otel.javaagent 2026-02-07 05:02:02:302 +0000] [main] INFO io.opentelemetry.javaagent.shaded.instrumentation.jmx.yaml.RuleParser - kafka-broker: found 20 metric rules Log directory /tmp/kafka-logs is already formatted. Use --ignore-formatted to ignore this directory and format the others.
kafka  | kafka  | [0.004s][warning][cds] Unable to read generic CDS file map header from shared archive
kafka  | kafka  | [otel.javaagent 2026-02-07 05:02:05:330 +0000] [main] INFO io.opentelemetry.javaagent.tooling.VersionLogger - opentelemetry-javaagent - version: 2.21.0
kafka  | kafka  | [otel.javaagent 2026-02-07 05:02:06:803 +0000] [main] INFO io.opentelemetry.javaagent.shaded.instrumentation.jmx.yaml.RuleParser - kafka-broker: found 20 metric rules
kafka  | kafka  | [2026-02-07 05:02:07,170] INFO Registered kafka:type=kafka.Log4jController MBean (kafka.utils.Log4jControllerRegistration$)
kafka  | kafka  | [2026-02-07 05:02:07,372] INFO Setting -D jdk.tls.rejectClientInitiatedRenegotiation=true to disable client-initiated TLS renegotiation (org.apache.zookeeper.common.X509Util)
kafka  | kafka  | [2026-02-07 05:02:07,543] INFO Registered signal handlers for TERM, INT, HUP (org.apache.kafka.common.utils.LoggingSignalHandler)
kafka  | kafka  | [2026-02-07 05:02:07,549] INFO [ControllerServer id=1] Starting controller (kafka.server.ControllerServer)
kafka  | kafka  | [2026-02-07 05:02:07,881] INFO Updated connection-accept-rate max connection creation rate to 2147483647 (kafka.network.ConnectionQuotas)
kafka  | kafka  | [2026-02-07 05:02:07,918] INFO [SocketServer listenerType=CONTROLLER, nodeId=1] Created data-plane acceptor and processors for endpoint : ListenerName(CONTROLLER) (kafka.network.SocketServer)
kafka  | kafka  | [2026-02-07 05:02:07,924] INFO authorizerStart completed for endpoint CONTROLLER. Endpoint is now READY. (org.apache.kafka.server.network.EndpointReadyFutures)
kafka  | kafka  | [2026-02-07 05:02:07,925] INFO [SharedServer id=1] Starting SharedServer (kafka.server.SharedServer)
kafka  | kafka  | [2026-02-07 05:02:07,979] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Recovering unflushed segment 3836303. 0/8 recovered for __cluster_metadata-0. (kafka.log.LogLoader)
kafka  | kafka  | [2026-02-07 05:02:07,981] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Loading producer state till offset 3836303 with message format version 2 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:07,981] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Reloading from producer snapshot and rebuilding producer state from offset 3836303 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:07,982] INFO Deleted producer state snapshot /tmp/kafka-logs/__cluster_metadata-0/00000000000003836333.snapshot (org.apache.kafka.storage.internals.log.SnapshotFile)
kafka  | kafka  | [2026-02-07 05:02:07,982] INFO Deleted producer state snapshot /tmp/kafka-logs/__cluster_metadata-0/00000000000003836363.snapshot (org.apache.kafka.storage.internals.log.SnapshotFile)
kafka  | kafka  | [2026-02-07 05:02:07,982] INFO Deleted producer state snapshot /tmp/kafka-logs/__cluster_metadata-0/00000000000003836393.snapshot (org.apache.kafka.storage.internals.log.SnapshotFile)
kafka  | kafka  | [2026-02-07 05:02:07,982] INFO Deleted producer state snapshot /tmp/kafka-logs/__cluster_metadata-0/00000000000003836423.snapshot (org.apache.kafka.storage.internals.log.SnapshotFile)
kafka  | kafka  | [2026-02-07 05:02:07,982] INFO Deleted producer state snapshot /tmp/kafka-logs/__cluster_metadata-0/00000000000003836453.snapshot (org.apache.kafka.storage.internals.log.SnapshotFile)
kafka  | kafka  | [2026-02-07 05:02:07,982] INFO Deleted producer state snapshot /tmp/kafka-logs/__cluster_metadata-0/00000000000003836483.snapshot (org.apache.kafka.storage.internals.log.SnapshotFile)
kafka  | kafka  | [2026-02-07 05:02:07,982] INFO Deleted producer state snapshot /tmp/kafka-logs/__cluster_metadata-0/00000000000003836513.snapshot (org.apache.kafka.storage.internals.log.SnapshotFile)
kafka  | kafka  | [2026-02-07 05:02:07,982] INFO [ProducerStateManager partition=__cluster_metadata-0] Loading producer state from snapshot file 'SnapshotFile(offset=3836303, file=/tmp/kafka-logs/__cluster_metadata-0/00000000000003836303.snapshot)' (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka  | kafka  | [2026-02-07 05:02:07,988] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Producer state recovery took 7ms for snapshot load and 0ms for segment recovery from offset 3836303 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:07,996] INFO [ProducerStateManager partition=__cluster_metadata-0] Wrote producer snapshot at offset 3836333 with 0 producer ids in 1 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka  | kafka  | [2026-02-07 05:02:07,996] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Recovering unflushed segment 3836333. 1/8 recovered for __cluster_metadata-0. (kafka.log.LogLoader)
kafka  | kafka  | [2026-02-07 05:02:07,997] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Loading producer state till offset 3836333 with message format version 2 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:07,997] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Reloading from producer snapshot and rebuilding producer state from offset 3836333 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:07,997] INFO [ProducerStateManager partition=__cluster_metadata-0] Loading producer state from snapshot file 'SnapshotFile(offset=3836333, file=/tmp/kafka-logs/__cluster_metadata-0/00000000000003836333.snapshot)' (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka  | kafka  | [2026-02-07 05:02:07,997] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Producer state recovery took 0ms for snapshot load and 0ms for segment recovery from offset 3836333 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:08,000] INFO [ProducerStateManager partition=__cluster_metadata-0] Wrote producer snapshot at offset 3836363 with 0 producer ids in 1 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka  | kafka  | [2026-02-07 05:02:08,000] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Recovering unflushed segment 3836363. 2/8 recovered for __cluster_metadata-0. (kafka.log.LogLoader)
kafka  | kafka  | [2026-02-07 05:02:08,000] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Loading producer state till offset 3836363 with message format version 2 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:08,000] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Reloading from producer snapshot and rebuilding producer state from offset 3836363 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:08,000] INFO [ProducerStateManager partition=__cluster_metadata-0] Loading producer state from snapshot file 'SnapshotFile(offset=3836363, file=/tmp/kafka-logs/__cluster_metadata-0/00000000000003836363.snapshot)' (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka  | kafka  | [2026-02-07 05:02:08,001] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Producer state recovery took 1ms for snapshot load and 0ms for segment recovery from offset 3836363 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:08,002] INFO [ProducerStateManager partition=__cluster_metadata-0] Wrote producer snapshot at offset 3836393 with 0 producer ids in 0 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka  | kafka  | [2026-02-07 05:02:08,002] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Recovering unflushed segment 3836393. 3/8 recovered for __cluster_metadata-0. (kafka.log.LogLoader)
kafka  | kafka  | [2026-02-07 05:02:08,003] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Loading producer state till offset 3836393 with message format version 2 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:08,003] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Reloading from producer snapshot and rebuilding producer state from offset 3836393 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:08,003] INFO [ProducerStateManager partition=__cluster_metadata-0] Loading producer state from snapshot file 'SnapshotFile(offset=3836393, file=/tmp/kafka-logs/__cluster_metadata-0/00000000000003836393.snapshot)' (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka  | kafka  | [2026-02-07 05:02:08,003] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Producer state recovery took 0ms for snapshot load and 0ms for segment recovery from offset 3836393 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:08,005] INFO [ProducerStateManager partition=__cluster_metadata-0] Wrote producer snapshot at offset 3836423 with 0 producer ids in 1 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka  | kafka  | [2026-02-07 05:02:08,005] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Recovering unflushed segment 3836423. 4/8 recovered for __cluster_metadata-0. (kafka.log.LogLoader)
kafka  | kafka  | [2026-02-07 05:02:08,006] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Loading producer state till offset 3836423 with message format version 2 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:08,006] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Reloading from producer snapshot and rebuilding producer state from offset 3836423 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:08,006] INFO [ProducerStateManager partition=__cluster_metadata-0] Loading producer state from snapshot file 'SnapshotFile(offset=3836423, file=/tmp/kafka-logs/__cluster_metadata-0/00000000000003836423.snapshot)' (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka  | kafka  | [2026-02-07 05:02:08,006] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Producer state recovery took 0ms for snapshot load and 0ms for segment recovery from offset 3836423 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:08,008] INFO [ProducerStateManager partition=__cluster_metadata-0] Wrote producer snapshot at offset 3836453 with 0 producer ids in 1 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka  | kafka  | [2026-02-07 05:02:08,008] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Recovering unflushed segment 3836453. 5/8 recovered for __cluster_metadata-0. (kafka.log.LogLoader)
kafka  | kafka  | [2026-02-07 05:02:08,008] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Loading producer state till offset 3836453 with message format version 2 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:08,009] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Reloading from producer snapshot and rebuilding producer state from offset 3836453 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:08,009] INFO [ProducerStateManager partition=__cluster_metadata-0] Loading producer state from snapshot file 'SnapshotFile(offset=3836453, file=/tmp/kafka-logs/__cluster_metadata-0/00000000000003836453.snapshot)' (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka  | kafka  | [2026-02-07 05:02:08,009] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Producer state recovery took 0ms for snapshot load and 0ms for segment recovery from offset 3836453 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:08,015] INFO [ProducerStateManager partition=__cluster_metadata-0] Wrote producer snapshot at offset 3836483 with 0 producer ids in 1 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka  | kafka  | [2026-02-07 05:02:08,015] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Recovering unflushed segment 3836483. 6/8 recovered for __cluster_metadata-0. (kafka.log.LogLoader)
kafka  | kafka  | [2026-02-07 05:02:08,015] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Loading producer state till offset 3836483 with message format version 2 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:08,015] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Reloading from producer snapshot and rebuilding producer state from offset 3836483 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:08,015] INFO [ProducerStateManager partition=__cluster_metadata-0] Loading producer state from snapshot file 'SnapshotFile(offset=3836483, file=/tmp/kafka-logs/__cluster_metadata-0/00000000000003836483.snapshot)' (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka  | kafka  | [2026-02-07 05:02:08,016] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Producer state recovery took 1ms for snapshot load and 0ms for segment recovery from offset 3836483 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:08,021] INFO [ProducerStateManager partition=__cluster_metadata-0] Wrote producer snapshot at offset 3836513 with 0 producer ids in 1 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka  | kafka  | [2026-02-07 05:02:08,021] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Recovering unflushed segment 3836513. 7/8 recovered for __cluster_metadata-0. (kafka.log.LogLoader)
kafka  | kafka  | [2026-02-07 05:02:08,021] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Loading producer state till offset 3836513 with message format version 2 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:08,021] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Reloading from producer snapshot and rebuilding producer state from offset 3836513 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:08,021] INFO [ProducerStateManager partition=__cluster_metadata-0] Loading producer state from snapshot file 'SnapshotFile(offset=3836513, file=/tmp/kafka-logs/__cluster_metadata-0/00000000000003836513.snapshot)' (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka  | kafka  | [2026-02-07 05:02:08,022] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Producer state recovery took 0ms for snapshot load and 0ms for segment recovery from offset 3836513 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:08,027] INFO [ProducerStateManager partition=__cluster_metadata-0] Wrote producer snapshot at offset 3836518 with 0 producer ids in 1 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka  | kafka  | [2026-02-07 05:02:08,034] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Loading producer state till offset 3836518 with message format version 2 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:08,034] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Reloading from producer snapshot and rebuilding producer state from offset 3836518 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:08,034] INFO Deleted producer state snapshot /tmp/kafka-logs/__cluster_metadata-0/00000000000003836303.snapshot (org.apache.kafka.storage.internals.log.SnapshotFile)
kafka  | kafka  | [2026-02-07 05:02:08,034] INFO [ProducerStateManager partition=__cluster_metadata-0] Loading producer state from snapshot file 'SnapshotFile(offset=3836518, file=/tmp/kafka-logs/__cluster_metadata-0/00000000000003836518.snapshot)' (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka  | kafka  | [2026-02-07 05:02:08,034] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Producer state recovery took 0ms for snapshot load and 0ms for segment recovery from offset 3836518 (kafka.log.UnifiedLog$)
kafka  | kafka  | [2026-02-07 05:02:08,064] INFO Deleted unneeded snapshot file with path SnapshotPath(path=/tmp/kafka-logs/__cluster_metadata-0/00000000000003836190-0000000009.checkpoint.deleted, snapshotId=OffsetAndEpoch(offset=3836190, epoch=9), partial=false) (kafka.raft.KafkaMetadataLog$)
kafka  | kafka  | [2026-02-07 05:02:08,065] INFO Deleted unneeded snapshot file with path SnapshotPath(path=/tmp/kafka-logs/__cluster_metadata-0/00000000000003836229-0000000009.checkpoint.deleted, snapshotId=OffsetAndEpoch(offset=3836229, epoch=9), partial=false) (kafka.raft.KafkaMetadataLog$)
kafka  | kafka  | [2026-02-07 05:02:08,065] INFO Deleted unneeded snapshot file with path SnapshotPath(path=/tmp/kafka-logs/__cluster_metadata-0/00000000000003836268-0000000009.checkpoint.deleted, snapshotId=OffsetAndEpoch(offset=3836268, epoch=9), partial=false) (kafka.raft.KafkaMetadataLog$)
kafka  | kafka  | [2026-02-07 05:02:08,069] INFO Initialized snapshots with IDs SortedSet(OffsetAndEpoch(offset=3836307, epoch=9), OffsetAndEpoch(offset=3836346, epoch=9), OffsetAndEpoch(offset=3836385, epoch=9), OffsetAndEpoch(offset=3836424, epoch=9), OffsetAndEpoch(offset=3836463, epoch=9), OffsetAndEpoch(offset=3836502, epoch=9)) from /tmp/kafka-logs/__cluster_metadata-0 (kafka.raft.KafkaMetadataLog$)
kafka  | kafka  | [2026-02-07 05:02:08,091] INFO [raft-expiration-reaper]: Starting (kafka.raft.TimingWheelExpirationService$ExpiredOperationReaper)
kafka  | kafka  | [2026-02-07 05:02:08,111] INFO [RaftManager id=1] Reading KRaft snapshot and log as part of the initialization (org.apache.kafka.raft.KafkaRaftClient)
kafka  | kafka  | [2026-02-07 05:02:08,114] INFO [RaftManager id=1] Loading snapshot (OffsetAndEpoch(offset=3836502, epoch=9)) since log start offset (3836303) is greater than the internal listener's next offset (-1) (org.apache.kafka.raft.internals.KRaftControlRecordStateMachine)
kafka  | kafka  | [2026-02-07 05:02:08,199] INFO [RaftManager id=1] Starting voters are VoterSet(voters={1=VoterNode(voterKey=ReplicaKey(id=1, directoryId=Optional.empty), listeners=Endpoints(endpoints={ListenerName(CONTROLLER)=kafka/172.22.0.23:9093}), supportedKRaftVersion=SupportedVersionRange[min_version:0, max_version:0])}) (org.apache.kafka.raft.KafkaRaftClient)
kafka  | kafka  | [2026-02-07 05:02:08,200] INFO [RaftManager id=1] Starting request manager with static voters: [kafka:9093 (id: 1 rack: null)] (org.apache.kafka.raft.KafkaRaftClient)
kafka  | kafka  | [2026-02-07 05:02:08,322] INFO [RaftManager id=1] Attempting durable transition to ResignedState(localId=1, epoch=9, voters=[1], electionTimeoutMs=1463, unackedVoters=[], preferredSuccessors=[]) from null (org.apache.kafka.raft.QuorumState)
kafka  | kafka  | [2026-02-07 05:02:08,334] INFO [RaftManager id=1] Completed transition to ResignedState(localId=1, epoch=9, voters=[1], electionTimeoutMs=1463, unackedVoters=[], preferredSuccessors=[]) from null (org.apache.kafka.raft.QuorumState)
kafka  | kafka  | [2026-02-07 05:02:08,337] INFO [RaftManager id=1] Attempting durable transition to CandidateState(localId=1, localDirectoryId=RpgKmoe3nn5c5lsnw5tZxA,epoch=10, retries=1, voteStates={1=org.apache.kafka.raft.CandidateState$VoterState@21d48c40}, highWatermark=Optional.empty, electionTimeoutMs=1523) from ResignedState(localId=1, epoch=9, voters=[1], electionTimeoutMs=1463, unackedVoters=[], preferredSuccessors=[]) (org.apache.kafka.raft.QuorumState)
kafka  | kafka  | [2026-02-07 05:02:08,340] INFO [RaftManager id=1] Completed transition to CandidateState(localId=1, localDirectoryId=RpgKmoe3nn5c5lsnw5tZxA,epoch=10, retries=1, voteStates={1=org.apache.kafka.raft.CandidateState$VoterState@21d48c40}, highWatermark=Optional.empty, electionTimeoutMs=1523) from ResignedState(localId=1, epoch=9, voters=[1], electionTimeoutMs=1463, unackedVoters=[], preferredSuccessors=[]) (org.apache.kafka.raft.QuorumState)
kafka  | kafka  | [2026-02-07 05:02:08,343] INFO [RaftManager id=1] Attempting durable transition to Leader(localReplicaKey=ReplicaKey(id=1, directoryId=Optional[RpgKmoe3nn5c5lsnw5tZxA]), epoch=10, epochStartOffset=3836518, highWatermark=Optional.empty, voterStates={1=ReplicaState(replicaKey=ReplicaKey(id=1, directoryId=Optional.empty), endOffset=Optional.empty, lastFetchTimestamp=-1, lastCaughtUpTimestamp=-1, hasAcknowledgedLeader=true)}) from CandidateState(localId=1, localDirectoryId=RpgKmoe3nn5c5lsnw5tZxA,epoch=10, retries=1, voteStates={1=org.apache.kafka.raft.CandidateState$VoterState@21d48c40}, highWatermark=Optional.empty, electionTimeoutMs=1523) (org.apache.kafka.raft.QuorumState)
kafka  | kafka  | [2026-02-07 05:02:08,345] INFO [RaftManager id=1] Completed transition to Leader(localReplicaKey=ReplicaKey(id=1, directoryId=Optional[RpgKmoe3nn5c5lsnw5tZxA]), epoch=10, epochStartOffset=3836518, highWatermark=Optional.empty, voterStates={1=ReplicaState(replicaKey=ReplicaKey(id=1, directoryId=Optional.empty), endOffset=Optional.empty, lastFetchTimestamp=-1, lastCaughtUpTimestamp=-1, hasAcknowledgedLeader=true)}) from CandidateState(localId=1, localDirectoryId=RpgKmoe3nn5c5lsnw5tZxA,epoch=10, retries=1, voteStates={1=org.apache.kafka.raft.CandidateState$VoterState@21d48c40}, highWatermark=Optional.empty, electionTimeoutMs=1523) (org.apache.kafka.raft.QuorumState)
kafka  | kafka  | [2026-02-07 05:02:08,354] INFO [kafka-1-raft-outbound-request-thread]: Starting (org.apache.kafka.raft.KafkaNetworkChannel$SendThread)
kafka  | kafka  | [2026-02-07 05:02:08,354] INFO [kafka-1-raft-io-thread]: Starting (org.apache.kafka.raft.KafkaRaftClientDriver)
kafka  | kafka  | [2026-02-07 05:02:08,366] INFO [LocalLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Rolled new log segment at offset 3836518 in 3 ms. (kafka.log.LocalLog)
kafka  | kafka  | [2026-02-07 05:02:08,371] INFO [MetadataLoader id=1] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka  | kafka  | [2026-02-07 05:02:08,374] INFO [ControllerServer id=1] Waiting for controller quorum voters future (kafka.server.ControllerServer)
kafka  | kafka  | [2026-02-07 05:02:08,374] INFO [ControllerServer id=1] Finished waiting for controller quorum voters future (kafka.server.ControllerServer)
kafka  | kafka  | [2026-02-07 05:02:08,384] INFO [RaftManager id=1] High watermark set to LogOffsetMetadata(offset=3836519, metadata=Optional[(segmentBaseOffset=3836518,relativePositionInSegment=91)]) for the first time for epoch 10 based on indexOfHw 0 and voters [ReplicaState(replicaKey=ReplicaKey(id=1, directoryId=Optional.empty), endOffset=Optional[LogOffsetMetadata(offset=3836519, metadata=Optional[(segmentBaseOffset=3836518,relativePositionInSegment=91)])], lastFetchTimestamp=-1, lastCaughtUpTimestamp=-1, hasAcknowledgedLeader=true)] (org.apache.kafka.raft.LeaderState)
kafka  | kafka  | [2026-02-07 05:02:08,389] INFO [RaftManager id=1] Registered the listener org.apache.kafka.image.loader.MetadataLoader@182698462 (org.apache.kafka.raft.KafkaRaftClient)
kafka  | kafka  | [2026-02-07 05:02:08,390] INFO [MetadataLoader id=1] handleLoadSnapshot(00000000000003836502-0000000009): incrementing HandleLoadSnapshotCount to 1. (org.apache.kafka.image.loader.MetadataLoader)
kafka  | kafka  | [2026-02-07 05:02:08,405] INFO [RaftManager id=1] Registered the listener org.apache.kafka.controller.QuorumController$QuorumMetaLogListener@1265304858 (org.apache.kafka.raft.KafkaRaftClient)
kafka  | kafka  | [2026-02-07 05:02:08,405] INFO [MetadataLoader id=1] handleLoadSnapshot(00000000000003836502-0000000009): generated a metadata delta between offset -1 and this snapshot in 15130 us. (org.apache.kafka.image.loader.MetadataLoader)
kafka  | kafka  | [2026-02-07 05:02:08,406] INFO [MetadataLoader id=1] maybePublishMetadata(SNAPSHOT): The loader is still catching up because we have loaded up to offset 3836501, but the high water mark is 3836519 (org.apache.kafka.image.loader.MetadataLoader)
kafka  | kafka  | [2026-02-07 05:02:08,407] INFO [MetadataLoader id=1] maybePublishMetadata(LOG_DELTA): The loader is still catching up because we have loaded up to offset 3836512, but the high water mark is 3836519 (org.apache.kafka.image.loader.MetadataLoader)
